Dorm,Appliance,Season,Hour,Month,DayOfWeek,Usage (kWh)
Chu Hall,Phones,Summer,22,9,5,3.54
Chu Hall,Air Conditioners,Summer,23,9,5,0.73
Smith Hall,Air Conditioners,Summer,0,9,6,0.46
Chu Hall,Lamps,Summer,1,9,6,1.27
Adams Hall,Fans,Summer,2,9,6,1.44
Parker Hall,Kettles,Summer,3,9,6,2.49
Adams Hall,Fridges,Summer,4,9,6,2.17
Parker Hall,Fridges,Summer,5,9,6,1.28
Moulton House,Heaters,Summer,6,9,6,0.35
Moulton House,Phones,Summer,7,9,6,0.67
Gillespie Hall,Phones,Summer,8,9,6,1.97
Kaplanis Hall,Air Conditioners,Summer,9,9,6,2.36
Adams Hall,Fans,Summer,10,9,6,2.26
Parker Hall,Laptops,Summer,11,9,6,1.49
Adams Hall,Lamps,Summer,12,9,6,1.93
Moulton House,Fans,Summer,13,9,6,2.14
Chu Hall,Fridges,Summer,14,9,6,0.58
Smith Hall,Kettles,Summer,15,9,6,0.54
Gillespie Hall,Lamps,Summer,16,9,6,2.78
Parker Hall,Phones,Summer,17,9,6,2.44
Village,Heaters,Summer,18,9,6,2.45
Moulton House,Laptops,Summer,19,9,6,1.03
Village,Kettles,Summer,20,9,6,1.56
Gillespie Hall,Cooking Wares,Summer,21,9,6,2.23
Smith Hall,Kettles,Summer,22,9,6,3.76
Parker Hall,Heaters,Summer,23,9,6,2.93
Village,Fans,Summer,0,9,0,0.46
Village,Lamps,Summer,1,9,0,2.72
Gillespie Hall,Cooking Wares,Summer,2,9,0,2.36
Village,Kettles,Summer,3,9,0,2.11
Adams Hall,Phones,Summer,4,9,0,2.6
Gillespie Hall,Laptops,Summer,5,9,0,0.4
Village,Fridges,Summer,6,9,0,1.39
Gillespie Hall,Heaters,Summer,7,9,0,2.31
Chu Hall,Heaters,Summer,8,9,0,0.67
Moulton House,Fridges,Summer,9,9,0,0.27
Parker Hall,Laptops,Summer,10,9,0,2.12
Adams Hall,Heaters,Summer,11,9,0,0.92
Adams Hall,Lamps,Summer,12,9,0,0.66
Gillespie Hall,Laptops,Summer,13,9,0,0.46
Kaplanis Hall,Fans,Summer,14,9,0,0.39
Village,Laptops,Summer,15,9,0,0.45
Smith Hall,Air Conditioners,Summer,16,9,0,2.66
Village,Fridges,Summer,17,9,0,1.91
Parker Hall,Fans,Summer,18,9,0,2.05
Adams Hall,Phones,Summer,19,9,0,3.31
Chu Hall,Air Conditioners,Summer,20,9,0,1.47
Moulton House,Fans,Summer,21,9,0,0.34
Gillespie Hall,Laptops,Summer,22,9,0,4.48
Gillespie Hall,Lamps,Summer,23,9,0,2.35
Gillespie Hall,Fans,Summer,0,9,1,0.81
Parker Hall,Phones,Summer,1,9,1,2.52
Gillespie Hall,Laptops,Summer,2,9,1,1.67
Parker Hall,Laptops,Summer,3,9,1,1.02
Smith Hall,Laptops,Summer,4,9,1,0.56
Kaplanis Hall,Kettles,Summer,5,9,1,2.9
Parker Hall,Heaters,Summer,6,9,1,0.87
Chu Hall,Heaters,Summer,7,9,1,0.32
Kaplanis Hall,Laptops,Summer,8,9,1,2.06
Smith Hall,Cooking Wares,Summer,9,9,1,2.74
Gillespie Hall,Phones,Summer,10,9,1,1.56
Kaplanis Hall,Phones,Summer,11,9,1,1.78
Kaplanis Hall,Laptops,Summer,12,9,1,2.8
Parker Hall,Fridges,Summer,13,9,1,0.9
Adams Hall,Lamps,Summer,14,9,1,0.76
Smith Hall,Laptops,Summer,15,9,1,2.59
Adams Hall,Phones,Summer,16,9,1,1.9
Village,Phones,Summer,17,9,1,0.54
Parker Hall,Laptops,Summer,18,9,1,4.11
Moulton House,Air Conditioners,Summer,19,9,1,2.78
Smith Hall,Heaters,Summer,20,9,1,3.63
Kaplanis Hall,Air Conditioners,Summer,21,9,1,0.7
Chu Hall,Cooking Wares,Summer,22,9,1,1.88
Adams Hall,Air Conditioners,Summer,23,9,1,0.8
Gillespie Hall,Fridges,Summer,0,9,2,2.84
Chu Hall,Cooking Wares,Summer,1,9,2,0.19
Kaplanis Hall,Kettles,Summer,2,9,2,1.1
Village,Lamps,Summer,3,9,2,2.59
Parker Hall,Fans,Summer,4,9,2,1.01
Chu Hall,Fridges,Summer,5,9,2,2.11
Parker Hall,Laptops,Summer,6,9,2,2.26
Adams Hall,Phones,Summer,7,9,2,2.05
Smith Hall,Lamps,Summer,8,9,2,1.42
Village,Cooking Wares,Summer,9,9,2,2.43
Gillespie Hall,Air Conditioners,Summer,10,9,2,0.49
Parker Hall,Phones,Summer,11,9,2,1.08
Parker Hall,Cooking Wares,Summer,12,9,2,1.25
Adams Hall,Air Conditioners,Summer,13,9,2,1.49
Smith Hall,Heaters,Summer,14,9,2,1.62
Parker Hall,Heaters,Summer,15,9,2,0.17
Kaplanis Hall,Fridges,Summer,16,9,2,0.24
Gillespie Hall,Laptops,Summer,17,9,2,2.44
Moulton House,Lamps,Summer,18,9,2,2.24
Chu Hall,Laptops,Summer,19,9,2,2.52
Adams Hall,Lamps,Summer,20,9,2,3.73
Gillespie Hall,Phones,Summer,21,9,2,3.87
Chu Hall,Fans,Summer,22,9,2,0.83
Smith Hall,Phones,Summer,23,9,2,2.16
Chu Hall,Kettles,Summer,0,9,3,2.23
Adams Hall,Kettles,Summer,1,9,3,2.24
Adams Hall,Fans,Summer,2,9,3,0.25
Adams Hall,Heaters,Summer,3,9,3,0.56
Chu Hall,Laptops,Summer,4,9,3,2.77
Parker Hall,Kettles,Summer,5,9,3,0.61
Smith Hall,Lamps,Summer,6,9,3,2.22
Kaplanis Hall,Laptops,Summer,7,9,3,0.94
Gillespie Hall,Kettles,Summer,8,9,3,0.75
Chu Hall,Fans,Summer,9,9,3,0.34
Moulton House,Air Conditioners,Summer,10,9,3,2.56
Smith Hall,Fridges,Summer,11,9,3,2.93
Kaplanis Hall,Cooking Wares,Summer,12,9,3,0.83
Chu Hall,Fridges,Summer,13,9,3,0.64
Parker Hall,Kettles,Summer,14,9,3,1.94
Village,Laptops,Summer,15,9,3,0.8
Smith Hall,Heaters,Summer,16,9,3,1.65
Parker Hall,Fridges,Summer,17,9,3,1.93
Village,Kettles,Summer,18,9,3,3.88
Chu Hall,Cooking Wares,Summer,19,9,3,0.3
Smith Hall,Lamps,Summer,20,9,3,3.17
Moulton House,Kettles,Summer,21,9,3,3.26
Parker Hall,Laptops,Summer,22,9,3,1.77
Village,Heaters,Summer,23,9,3,2.85
Moulton House,Phones,Summer,0,9,4,1.97
Kaplanis Hall,Cooking Wares,Summer,1,9,4,1.97
Village,Phones,Summer,2,9,4,1.61
Smith Hall,Laptops,Summer,3,9,4,2.2
Parker Hall,Phones,Summer,4,9,4,1.66
Smith Hall,Lamps,Summer,5,9,4,0.5
Smith Hall,Laptops,Summer,6,9,4,0.86
Gillespie Hall,Fans,Summer,7,9,4,1.43
Kaplanis Hall,Laptops,Summer,8,9,4,0.44
Gillespie Hall,Kettles,Summer,9,9,4,1.8
Gillespie Hall,Phones,Summer,10,9,4,1.49
Parker Hall,Cooking Wares,Summer,11,9,4,2.0
Adams Hall,Cooking Wares,Summer,12,9,4,0.92
Moulton House,Fans,Summer,13,9,4,1.2
Gillespie Hall,Fans,Summer,14,9,4,1.21
Smith Hall,Lamps,Summer,15,9,4,1.22
Gillespie Hall,Heaters,Summer,16,9,4,2.92
Adams Hall,Heaters,Summer,17,9,4,0.55
Kaplanis Hall,Lamps,Summer,18,9,4,1.51
Kaplanis Hall,Kettles,Summer,19,9,4,3.21
Village,Air Conditioners,Summer,20,9,4,1.87
Village,Laptops,Summer,21,9,4,2.69
Chu Hall,Cooking Wares,Summer,22,9,4,3.98
Village,Lamps,Summer,23,9,4,0.41
Gillespie Hall,Fans,Summer,0,9,5,2.7
Adams Hall,Lamps,Summer,1,9,5,0.62
Smith Hall,Fans,Summer,2,9,5,2.3
Kaplanis Hall,Phones,Summer,3,9,5,2.56
Moulton House,Lamps,Summer,4,9,5,2.33
Gillespie Hall,Kettles,Summer,5,9,5,1.05
Parker Hall,Laptops,Summer,6,9,5,0.54
Adams Hall,Fans,Summer,7,9,5,1.03
Adams Hall,Laptops,Summer,8,9,5,2.56
Gillespie Hall,Phones,Summer,9,9,5,1.36
Chu Hall,Cooking Wares,Summer,10,9,5,0.8
Moulton House,Cooking Wares,Summer,11,9,5,2.38
Village,Kettles,Summer,12,9,5,2.71
Smith Hall,Phones,Summer,13,9,5,1.51
Smith Hall,Cooking Wares,Summer,14,9,5,1.23
Moulton House,Lamps,Summer,15,9,5,0.51
Moulton House,Phones,Summer,16,9,5,1.34
Adams Hall,Laptops,Summer,17,9,5,0.95
Kaplanis Hall,Laptops,Summer,18,9,5,1.1
Village,Phones,Summer,19,9,5,3.23
Moulton House,Cooking Wares,Summer,20,9,5,3.57
Parker Hall,Air Conditioners,Summer,21,9,5,1.09
Parker Hall,Fridges,Summer,22,9,5,0.85
Village,Laptops,Summer,23,9,5,1.57
Adams Hall,Fridges,Summer,0,9,6,2.47
Adams Hall,Phones,Summer,1,9,6,2.08
Chu Hall,Cooking Wares,Summer,2,9,6,2.61
Chu Hall,Fridges,Summer,3,9,6,2.33
Village,Fridges,Summer,4,9,6,2.53
Village,Lamps,Summer,5,9,6,2.51
Smith Hall,Phones,Summer,6,9,6,0.93
Kaplanis Hall,Lamps,Summer,7,9,6,2.55
Moulton House,Kettles,Summer,8,9,6,0.72
Gillespie Hall,Lamps,Summer,9,9,6,2.11
Moulton House,Cooking Wares,Summer,10,9,6,2.55
Smith Hall,Kettles,Summer,11,9,6,0.42
Moulton House,Phones,Summer,12,9,6,0.47
Chu Hall,Phones,Summer,13,9,6,1.84
Moulton House,Fans,Summer,14,9,6,0.81
Kaplanis Hall,Lamps,Summer,15,9,6,0.71
Smith Hall,Cooking Wares,Summer,16,9,6,1.46
Gillespie Hall,Laptops,Summer,17,9,6,2.56
Gillespie Hall,Cooking Wares,Summer,18,9,6,3.22
Parker Hall,Phones,Summer,19,9,6,2.24
Parker Hall,Fridges,Summer,20,9,6,3.26
Village,Cooking Wares,Summer,21,9,6,4.22
Moulton House,Laptops,Summer,22,9,6,2.87
Gillespie Hall,Cooking Wares,Summer,23,9,6,2.63
Adams Hall,Lamps,Fall,0,10,0,0.28
Adams Hall,Air Conditioners,Fall,1,10,0,0.3
Kaplanis Hall,Cooking Wares,Fall,2,10,0,0.65
Gillespie Hall,Phones,Fall,3,10,0,1.08
Parker Hall,Phones,Fall,4,10,0,0.38
Smith Hall,Air Conditioners,Fall,5,10,0,0.97
Smith Hall,Phones,Fall,6,10,0,1.85
Gillespie Hall,Kettles,Fall,7,10,0,1.34
Parker Hall,Laptops,Fall,8,10,0,1.14
Parker Hall,Air Conditioners,Fall,9,10,0,2.05
Chu Hall,Fridges,Fall,10,10,0,0.19
Kaplanis Hall,Phones,Fall,11,10,0,0.68
Smith Hall,Laptops,Fall,12,10,0,1.66
Gillespie Hall,Kettles,Fall,13,10,0,0.31
Smith Hall,Laptops,Fall,14,10,0,0.73
Adams Hall,Phones,Fall,15,10,0,1.82
Kaplanis Hall,Heaters,Fall,16,10,0,1.35
Gillespie Hall,Fridges,Fall,17,10,0,1.17
Moulton House,Kettles,Fall,18,10,0,2.56
Smith Hall,Heaters,Fall,19,10,0,0.78
Chu Hall,Air Conditioners,Fall,20,10,0,0.52
Moulton House,Fans,Fall,21,10,0,2.63
Moulton House,Fans,Fall,22,10,0,2.66
Kaplanis Hall,Fans,Fall,23,10,0,1.74
Chu Hall,Fans,Fall,0,10,1,1.59
Chu Hall,Air Conditioners,Fall,1,10,1,0.26
Moulton House,Laptops,Fall,2,10,1,0.9
Smith Hall,Kettles,Fall,3,10,1,0.8
Smith Hall,Heaters,Fall,4,10,1,0.13
Moulton House,Heaters,Fall,5,10,1,0.77
Moulton House,Kettles,Fall,6,10,1,0.54
Chu Hall,Lamps,Fall,7,10,1,0.19
Chu Hall,Phones,Fall,8,10,1,1.64
Smith Hall,Heaters,Fall,9,10,1,0.51
Moulton House,Heaters,Fall,10,10,1,0.81
Moulton House,Kettles,Fall,11,10,1,0.62
Chu Hall,Fans,Fall,12,10,1,0.55
Chu Hall,Air Conditioners,Fall,13,10,1,1.81
Parker Hall,Lamps,Fall,14,10,1,0.45
Adams Hall,Air Conditioners,Fall,15,10,1,0.67
Parker Hall,Laptops,Fall,16,10,1,1.81
Parker Hall,Heaters,Fall,17,10,1,0.63
Kaplanis Hall,Phones,Fall,18,10,1,2.57
Adams Hall,Phones,Fall,19,10,1,1.16
Parker Hall,Heaters,Fall,20,10,1,1.71
Smith Hall,Heaters,Fall,21,10,1,0.27
Smith Hall,Lamps,Fall,22,10,1,0.26
Parker Hall,Cooking Wares,Fall,23,10,1,1.53
Parker Hall,Lamps,Fall,0,10,2,0.67
Parker Hall,Air Conditioners,Fall,1,10,2,1.17
Smith Hall,Fridges,Fall,2,10,2,2.03
Adams Hall,Fridges,Fall,3,10,2,1.22
Parker Hall,Phones,Fall,4,10,2,0.85
Parker Hall,Fans,Fall,5,10,2,1.11
Gillespie Hall,Heaters,Fall,6,10,2,2.14
Chu Hall,Phones,Fall,7,10,2,1.88
Kaplanis Hall,Laptops,Fall,8,10,2,2.05
Smith Hall,Heaters,Fall,9,10,2,1.79
Adams Hall,Laptops,Fall,10,10,2,1.22
Gillespie Hall,Fridges,Fall,11,10,2,1.32
Village,Lamps,Fall,12,10,2,0.14
Moulton House,Heaters,Fall,13,10,2,1.41
Moulton House,Lamps,Fall,14,10,2,1.1
Village,Cooking Wares,Fall,15,10,2,1.84
Gillespie Hall,Phones,Fall,16,10,2,1.15
Parker Hall,Heaters,Fall,17,10,2,21.299999999999997
Adams Hall,Lamps,Fall,18,10,2,0.93
Smith Hall,Lamps,Fall,19,10,2,1.02
Village,Fans,Fall,20,10,2,2.0
Smith Hall,Heaters,Fall,21,10,2,0.25
Gillespie Hall,Lamps,Fall,22,10,2,2.74
Parker Hall,Heaters,Fall,23,10,2,1.74
Kaplanis Hall,Fridges,Fall,0,10,3,2.17
Adams Hall,Kettles,Fall,1,10,3,0.13
Parker Hall,Phones,Fall,2,10,3,0.41
Village,Phones,Fall,3,10,3,0.28
Gillespie Hall,Fans,Fall,4,10,3,0.73
Parker Hall,Laptops,Fall,5,10,3,0.88
Village,Cooking Wares,Fall,6,10,3,1.44
Village,Phones,Fall,7,10,3,1.58
Parker Hall,Laptops,Fall,8,10,3,1.25
Gillespie Hall,Air Conditioners,Fall,9,10,3,0.81
Gillespie Hall,Phones,Fall,10,10,3,1.09
Kaplanis Hall,Fans,Fall,11,10,3,1.08
Moulton House,Fans,Fall,12,10,3,1.56
Gillespie Hall,Fans,Fall,13,10,3,1.29
Kaplanis Hall,Heaters,Fall,14,10,3,1.85
Chu Hall,Kettles,Fall,15,10,3,1.25
Gillespie Hall,Phones,Fall,16,10,3,1.67
Parker Hall,Heaters,Fall,17,10,3,0.6
Smith Hall,Cooking Wares,Fall,18,10,3,1.25
Smith Hall,Kettles,Fall,19,10,3,1.46
Parker Hall,Air Conditioners,Fall,20,10,3,1.89
Parker Hall,Air Conditioners,Fall,21,10,3,2.4
Parker Hall,Cooking Wares,Fall,22,10,3,2.72
Adams Hall,Fridges,Fall,23,10,3,1.51
Village,Lamps,Fall,0,10,4,1.57
Parker Hall,Kettles,Fall,1,10,4,0.45
Village,Lamps,Fall,2,10,4,1.6
Kaplanis Hall,Kettles,Fall,3,10,4,1.84
Moulton House,Cooking Wares,Fall,4,10,4,0.81
Parker Hall,Fridges,Fall,5,10,4,1.83
Gillespie Hall,Laptops,Fall,6,10,4,1.18
Chu Hall,Heaters,Fall,7,10,4,1.89
Parker Hall,Air Conditioners,Fall,8,10,4,1.37
Adams Hall,Fans,Fall,9,10,4,1.53
Village,Heaters,Fall,10,10,4,0.73
Parker Hall,Cooking Wares,Fall,11,10,4,1.59
Gillespie Hall,Lamps,Fall,12,10,4,0.58
Moulton House,Lamps,Fall,13,10,4,0.21
Adams Hall,Laptops,Fall,14,10,4,2.02
Gillespie Hall,Cooking Wares,Fall,15,10,4,0.64
Smith Hall,Heaters,Fall,16,10,4,0.8
Smith Hall,Heaters,Fall,17,10,4,0.29
Smith Hall,Heaters,Fall,18,10,4,1.83
Parker Hall,Cooking Wares,Fall,19,10,4,0.17
Chu Hall,Fridges,Fall,20,10,4,3.16
Adams Hall,Fridges,Fall,21,10,4,0.73
Smith Hall,Phones,Fall,22,10,4,2.55
Smith Hall,Laptops,Fall,23,10,4,0.16
Adams Hall,Fridges,Fall,0,10,5,1.22
Moulton House,Air Conditioners,Fall,1,10,5,1.82
Smith Hall,Laptops,Fall,2,10,5,2.15
Smith Hall,Fridges,Fall,3,10,5,2.03
Chu Hall,Heaters,Fall,4,10,5,1.37
Adams Hall,Cooking Wares,Fall,5,10,5,1.63
Village,Fridges,Fall,6,10,5,0.27
Moulton House,Phones,Fall,7,10,5,1.27
Gillespie Hall,Air Conditioners,Fall,8,10,5,1.48
Moulton House,Laptops,Fall,9,10,5,1.2
Gillespie Hall,Fans,Fall,10,10,5,0.65
Village,Kettles,Fall,11,10,5,1.98
Moulton House,Fridges,Fall,12,10,5,0.69
Moulton House,Heaters,Fall,13,10,5,0.75
Smith Hall,Kettles,Fall,14,10,5,0.73
Adams Hall,Phones,Fall,15,10,5,0.84
Parker Hall,Phones,Fall,16,10,5,0.97
Adams Hall,Lamps,Fall,17,10,5,1.82
Gillespie Hall,Heaters,Fall,18,10,5,1.95
Village,Laptops,Fall,19,10,5,2.36
Moulton House,Air Conditioners,Fall,20,10,5,1.5
Kaplanis Hall,Phones,Fall,21,10,5,2.35
Parker Hall,Fans,Fall,22,10,5,2.26
Village,Fridges,Fall,23,10,5,1.87
Chu Hall,Kettles,Fall,0,10,6,0.98
Chu Hall,Fridges,Fall,1,10,6,0.48
Adams Hall,Cooking Wares,Fall,2,10,6,1.5
Adams Hall,Phones,Fall,3,10,6,0.55
Village,Phones,Fall,4,10,6,1.5
Adams Hall,Cooking Wares,Fall,5,10,6,0.46
Chu Hall,Laptops,Fall,6,10,6,1.73
Parker Hall,Fans,Fall,7,10,6,0.88
Smith Hall,Fridges,Fall,8,10,6,0.33
Kaplanis Hall,Phones,Fall,9,10,6,0.93
Chu Hall,Fans,Fall,10,10,6,1.24
Kaplanis Hall,Air Conditioners,Fall,11,10,6,0.4
Moulton House,Laptops,Fall,12,10,6,0.64
Moulton House,Fridges,Fall,13,10,6,1.7
Moulton House,Laptops,Fall,14,10,6,0.55
Smith Hall,Laptops,Fall,15,10,6,0.28
Parker Hall,Fans,Fall,16,10,6,1.4
Parker Hall,Lamps,Fall,17,10,6,1.37
Smith Hall,Air Conditioners,Fall,18,10,6,0.74
Kaplanis Hall,Phones,Fall,19,10,6,0.54
Moulton House,Phones,Fall,20,10,6,1.22
Gillespie Hall,Air Conditioners,Fall,21,10,6,0.31
Gillespie Hall,Laptops,Fall,22,10,6,0.24
Parker Hall,Fans,Fall,23,10,6,1.96
Moulton House,Phones,Fall,0,10,0,1.93
Kaplanis Hall,Laptops,Fall,1,10,0,1.6
Moulton House,Kettles,Fall,2,10,0,0.48
Village,Laptops,Fall,3,10,0,1.71
Village,Fans,Fall,4,10,0,1.12
Parker Hall,Fridges,Fall,5,10,0,0.96
Smith Hall,Phones,Fall,6,10,0,1.09
Adams Hall,Fans,Fall,7,10,0,1.49
Chu Hall,Phones,Fall,8,10,0,0.16
Village,Heaters,Fall,9,10,0,1.49
Village,Lamps,Fall,10,10,0,0.33
Moulton House,Cooking Wares,Fall,11,10,0,0.16
Chu Hall,Heaters,Fall,12,10,0,1.31
Adams Hall,Kettles,Fall,13,10,0,1.11
Chu Hall,Fans,Fall,14,10,0,1.76
Village,Laptops,Fall,15,10,0,1.47
Parker Hall,Air Conditioners,Fall,16,10,0,0.78
Parker Hall,Fridges,Fall,17,10,0,0.39
Moulton House,Heaters,Fall,18,10,0,3.29
Gillespie Hall,Air Conditioners,Fall,19,10,0,1.11
Moulton House,Air Conditioners,Fall,20,10,0,2.72
Smith Hall,Kettles,Fall,21,10,0,2.43
Gillespie Hall,Cooking Wares,Fall,22,10,0,1.41
Kaplanis Hall,Laptops,Fall,23,10,0,1.07
Smith Hall,Kettles,Fall,0,10,1,1.97
Village,Air Conditioners,Fall,1,10,1,0.92
Moulton House,Lamps,Fall,2,10,1,1.18
Smith Hall,Phones,Fall,3,10,1,1.56
Adams Hall,Heaters,Fall,4,10,1,1.87
Parker Hall,Air Conditioners,Fall,5,10,1,1.16
Smith Hall,Air Conditioners,Fall,6,10,1,1.74
Smith Hall,Fans,Fall,7,10,1,1.56
Gillespie Hall,Cooking Wares,Fall,8,10,1,1.3
Smith Hall,Phones,Fall,9,10,1,0.3
Kaplanis Hall,Phones,Fall,10,10,1,1.73
Gillespie Hall,Phones,Fall,11,10,1,0.41
Smith Hall,Kettles,Fall,12,10,1,0.78
Village,Phones,Fall,13,10,1,1.16
Moulton House,Fridges,Fall,14,10,1,1.9
Chu Hall,Laptops,Fall,15,10,1,1.59
Gillespie Hall,Kettles,Fall,16,10,1,1.07
Adams Hall,Kettles,Fall,17,10,1,1.03
Chu Hall,Fridges,Fall,18,10,1,2.27
Kaplanis Hall,Fridges,Fall,19,10,1,2.48
Gillespie Hall,Laptops,Fall,20,10,1,0.17
Moulton House,Heaters,Fall,21,10,1,0.24
Moulton House,Fans,Fall,22,10,1,0.58
Moulton House,Lamps,Fall,23,10,1,0.42
Village,Laptops,Fall,0,10,2,1.3
Adams Hall,Phones,Fall,1,10,2,2.08
Moulton House,Laptops,Fall,2,10,2,2.05
Village,Air Conditioners,Fall,3,10,2,0.87
Adams Hall,Lamps,Fall,4,10,2,0.97
Adams Hall,Cooking Wares,Fall,5,10,2,2.17
Parker Hall,Heaters,Fall,6,10,2,0.71
Parker Hall,Heaters,Fall,7,10,2,0.67
Adams Hall,Lamps,Fall,8,10,2,1.16
Gillespie Hall,Cooking Wares,Fall,9,10,2,0.22
Moulton House,Heaters,Fall,10,10,2,0.56
Adams Hall,Fridges,Fall,11,10,2,1.39
Moulton House,Fans,Fall,12,10,2,0.61
Smith Hall,Fridges,Fall,13,10,2,0.63
Moulton House,Air Conditioners,Fall,14,10,2,1.47
Moulton House,Fridges,Fall,15,10,2,0.88
Moulton House,Fridges,Fall,16,10,2,0.11
Adams Hall,Laptops,Fall,17,10,2,0.52
Moulton House,Kettles,Fall,18,10,2,2.56
Parker Hall,Phones,Fall,19,10,2,1.54
Kaplanis Hall,Fans,Fall,20,10,2,2.2
Village,Phones,Fall,21,10,2,1.89
Parker Hall,Air Conditioners,Fall,22,10,2,2.88
Gillespie Hall,Lamps,Fall,23,10,2,0.75
Moulton House,Fridges,Fall,0,10,3,0.48
Moulton House,Fridges,Fall,1,10,3,1.53
Parker Hall,Lamps,Fall,2,10,3,1.1
Village,Lamps,Fall,3,10,3,1.31
Adams Hall,Lamps,Fall,4,10,3,0.48
Village,Lamps,Fall,5,10,3,2.13
Gillespie Hall,Phones,Fall,6,10,3,0.34
Smith Hall,Heaters,Fall,7,10,3,1.0
Moulton House,Lamps,Fall,8,10,3,0.68
Parker Hall,Phones,Fall,9,10,3,2.15
Adams Hall,Heaters,Fall,10,10,3,0.78
Kaplanis Hall,Phones,Fall,11,10,3,1.07
Parker Hall,Heaters,Fall,12,10,3,1.94
Parker Hall,Fridges,Fall,13,10,3,0.63
Gillespie Hall,Air Conditioners,Fall,14,10,3,1.01
Parker Hall,Phones,Fall,15,10,3,1.88
Kaplanis Hall,Lamps,Fall,16,10,3,1.1
Parker Hall,Kettles,Fall,17,10,3,1.52
Chu Hall,Lamps,Fall,18,10,3,3.24
Gillespie Hall,Heaters,Fall,19,10,3,1.51
Parker Hall,Cooking Wares,Fall,20,10,3,2.83
Gillespie Hall,Lamps,Fall,21,10,3,0.82
Village,Heaters,Fall,22,10,3,1.0
Smith Hall,Fans,Fall,23,10,3,1.91
Kaplanis Hall,Lamps,Fall,0,10,4,1.32
Village,Fans,Fall,1,10,4,2.13
Moulton House,Heaters,Fall,2,10,4,0.41
Village,Fans,Fall,3,10,4,1.51
Adams Hall,Cooking Wares,Fall,4,10,4,0.71
Smith Hall,Laptops,Fall,5,10,4,2.01
Chu Hall,Kettles,Fall,6,10,4,1.61
Village,Fridges,Fall,7,10,4,2.12
Adams Hall,Kettles,Fall,8,10,4,0.49
Kaplanis Hall,Phones,Fall,9,10,4,1.39
Adams Hall,Phones,Fall,10,10,4,0.9
Smith Hall,Phones,Fall,11,10,4,1.2
Adams Hall,Fans,Fall,12,10,4,0.12
Smith Hall,Laptops,Fall,13,10,4,0.6
Smith Hall,Air Conditioners,Fall,14,10,4,2.14
Gillespie Hall,Phones,Fall,15,10,4,1.3
Moulton House,Air Conditioners,Fall,16,10,4,1.94
Village,Heaters,Fall,17,10,4,0.8
Moulton House,Fans,Fall,18,10,4,2.64
Smith Hall,Fans,Fall,19,10,4,0.4
Village,Fans,Fall,20,10,4,0.31
Chu Hall,Cooking Wares,Fall,21,10,4,2.22
Moulton House,Fans,Fall,22,10,4,3.0
Moulton House,Air Conditioners,Fall,23,10,4,1.45
Smith Hall,Fridges,Fall,0,10,5,1.25
Smith Hall,Heaters,Fall,1,10,5,1.15
Village,Lamps,Fall,2,10,5,1.91
Chu Hall,Fans,Fall,3,10,5,0.51
Village,Fridges,Fall,4,10,5,0.2
Gillespie Hall,Air Conditioners,Fall,5,10,5,1.33
Kaplanis Hall,Heaters,Fall,6,10,5,0.17
Parker Hall,Lamps,Fall,7,10,5,1.33
Chu Hall,Heaters,Fall,8,10,5,2.15
Chu Hall,Fans,Fall,9,10,5,1.07
Parker Hall,Kettles,Fall,10,10,5,0.77
Chu Hall,Kettles,Fall,11,10,5,1.39
Gillespie Hall,Heaters,Fall,12,10,5,0.81
Parker Hall,Fans,Fall,13,10,5,0.2
Parker Hall,Laptops,Fall,14,10,5,0.14
Village,Fridges,Fall,15,10,5,1.1
Village,Heaters,Fall,16,10,5,1.4
Village,Cooking Wares,Fall,17,10,5,1.96
Parker Hall,Kettles,Fall,18,10,5,0.83
Chu Hall,Fans,Fall,19,10,5,1.49
Village,Fans,Fall,20,10,5,0.4
Parker Hall,Cooking Wares,Fall,21,10,5,1.35
Parker Hall,Phones,Fall,22,10,5,2.04
Village,Fridges,Fall,23,10,5,0.52
Gillespie Hall,Phones,Fall,0,10,6,0.52
Gillespie Hall,Laptops,Fall,1,10,6,2.09
Kaplanis Hall,Phones,Fall,2,10,6,1.3
Village,Fans,Fall,3,10,6,1.42
Moulton House,Phones,Fall,4,10,6,1.21
Gillespie Hall,Air Conditioners,Fall,5,10,6,0.28
Smith Hall,Fans,Fall,6,10,6,0.71
Moulton House,Phones,Fall,7,10,6,1.08
Adams Hall,Phones,Fall,8,10,6,2.06
Smith Hall,Laptops,Fall,9,10,6,1.14
Kaplanis Hall,Air Conditioners,Fall,10,10,6,2.13
Moulton House,Kettles,Fall,11,10,6,1.79
Adams Hall,Kettles,Fall,12,10,6,2.15
Gillespie Hall,Heaters,Fall,13,10,6,0.71
Gillespie Hall,Air Conditioners,Fall,14,10,6,2.05
Moulton House,Kettles,Fall,15,10,6,0.89
Smith Hall,Fridges,Fall,16,10,6,0.84
Parker Hall,Lamps,Fall,17,10,6,0.92
Smith Hall,Laptops,Fall,18,10,6,1.82
Kaplanis Hall,Fans,Fall,19,10,6,1.81
Gillespie Hall,Kettles,Fall,20,10,6,2.43
Gillespie Hall,Laptops,Fall,21,10,6,2.96
Moulton House,Lamps,Fall,22,10,6,1.82
Parker Hall,Laptops,Fall,23,10,6,1.07
Kaplanis Hall,Air Conditioners,Fall,0,10,0,2.14
Moulton House,Air Conditioners,Fall,1,10,0,1.33
